model, nodes, edges, abstract_nodes, abstract_edges, flip_edges, bisimulation_time, rectify_time_concrete_naive, rectify_time_concrete, rectify_time_abstract, number_of_rules, immutable_rules, core_concrete, abstract_concrete, abstract_core_final
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 10.797425050999998, -1, 171.3379900540001, 0.028482251000014003, 15, 5, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05363449100013895, 0.1282601220000288, 0.11576341299996784, 0.018316635000019232, 15, 1, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05363449100013895, 0.17478523900012988, 0.16137090699999135, 0.017967974000157483, 15, 2, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05363449100013895, 0.25880843799996, 0.24081095399992591, 0.0173929490001683, 15, 3, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05363449100013895, 0.3195636049999848, 0.3032205669999257, 0.022356963999982327, 15, 4, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05363449100013895, 0.30176206300006925, 0.28265816800012544, 0.029185083000129453, 15, 5, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.008767539000018587, 0.008057999000129712, 0.00799414300013268, 0.008345215000190365, 13, 1, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.008767539000018587, 0.006639210999992429, 0.00676097500013384, 0.014293260999920676, 13, 2, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.008767539000018587, 0.012516207000089707, 0.01250013100002434, 0.014888783000060357, 13, 3, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.008767539000018587, 0.014956755999946836, 0.015172642999914387, 0.009626090999972803, 13, 5, 2, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.008767539000018587, 0.0102644630001123, 0.010481787999879089, 0.009088930999951117, 13, 6, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.032077262000029805, 0.0346144220000042, 0.03382998100005352, 0.053691809999918405, 20, 1, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.032077262000029805, 0.06315738400007831, 0.06041157100003147, 0.05501959599996553, 20, 2, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.032077262000029805, 0.07690854700013006, 0.0737110479999501, 0.05595708400005606, 20, 3, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.032077262000029805, 0.08978168499993444, 0.08623365700009344, 0.061499573999981294, 20, 4, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.032077262000029805, 0.0981426000000738, 0.09615858000006483, 0.16230870899994443, 20, 5, 1, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.01962595700001657, 0.1857873890000974, 0.1640751239999645, 0.09769812099989394, 25, 3, 3, 3, 3
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.01962595700001657, 0.2418980150000607, 0.21384919400020408, 0.140187977000096, 25, 8, 5, 5, 5
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.01962595700001657, 0.13588554500006467, 0.11799284299991086, 0.06353919999992286, 25, 10, 2, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.01962595700001657, 0.18312868199996046, 0.1575598069998705, 0.11592986200025734, 25, 14, 4, 4, 4
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.07458975600002304, 1.5215728359999048, 1.390912414000013, 1.4801530400000047, 47, 19, 19, 19, 19
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.07458975600002304, 0.9182297079998989, 0.8657968539998819, 1.5443053629999213, 47, 21, 2, 14, 13
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.07458975600002304, 1.5720666760000768, 1.4204578359999687, 1.686555331999898, 47, 34, 13, 18, 17
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1372043809999468, 0.6198936680000315, 0.5238009969998529, 0.19180782000012186, 29, 1, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1372043809999468, 0.594307931000003, 0.5273616859999493, 0.19899858999997377, 29, 2, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1372043809999468, 1.5593003740000313, 1.3941755529999682, 0.20301093199987008, 29, 4, 2, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1372043809999468, 0.9836653500001376, 0.9008060250000653, 0.20403303900002356, 29, 5, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1372043809999468, 1.0062823430000662, 0.9058036159999574, 0.20538204299987228, 29, 6, 1, 1, 1
aag_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.1532954609999706, 0.585601140000108, 0.4854681479998817, 0.1296894170000087, 32, 1, 1, 1, 1
aag_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.1532954609999706, 0.5907264620000205, 0.5088765549999152, 0.10928374800005258, 32, 2, 1, 1, 1
aag_out_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.14382703999990554, 0.5768096709998645, 0.48457611000003453, 0.12914973800002372, 32, 1, 1, 1, 1
aag_out_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.14382703999990554, 0.5858862350000891, 0.4905064019999372, 0.10929958800011264, 32, 2, 1, 1, 1
aag_test.pickle, 8021, 19417, 203, 346, 0, 0.4982535829999506, 4.277523610999879, 1.8873723219999192, 0.0641452400000162, 25, 1, 1, 1, 1
aag_test.pickle, 8021, 19417, 203, 346, 0, 0.4982535829999506, 3.738884492999887, 1.4260948940000162, 0.041900007999856825, 25, 2, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3099586369999088, 1.2682457169998997, 0.9203833270000814, 0.05260892299997977, 22, 1, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3099586369999088, 1.2061903789999633, 0.9301947629999177, 0.042986800000107905, 22, 2, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3099586369999088, 2.43178461399998, 1.9754857809998612, 0.07185787200000959, 22, 3, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3099586369999088, 2.8380312140000115, 2.407592501999943, 0.09158128700005363, 22, 4, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3099586369999088, 1.409931166999968, 1.1729339110002002, 3.4528886959999454, 22, 5, 1, 4, 4
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.031052080000108617, 0.03120148900006825, 0.028099167000164016, 0.05190847199992277, 16, 1, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.031052080000108617, 0.03868184099997052, 0.03636899499997526, 0.05394906400010768, 16, 2, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.031052080000108617, 0.06483671999990293, 0.061802520000128425, 0.05651845199986383, 16, 3, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.031052080000108617, 0.05741183299983277, 0.054985915000088426, 0.051335283000071286, 16, 4, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.031052080000108617, 0.06444220999992467, 0.060870848999911686, 0.06363826999995581, 16, 5, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.0333306940001421, 0.03823387899979025, 0.03696938899997804, 0.06558678400006102, 18, 1, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.0333306940001421, 0.07272743800012904, 0.07092590700017354, 0.06150271500018789, 18, 2, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.0333306940001421, 0.0867098219998752, 0.08471286799999689, 0.062359106000030806, 18, 3, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.0333306940001421, 0.0869273879998218, 0.08427484599997115, 0.06733934099997896, 18, 4, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.0333306940001421, 0.0843304929999249, 0.08107362000009743, 0.0594813749999048, 18, 5, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.18212441699984, -1, 36.08504278200007, 0.019882972999766935, 15, 1, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.18212441699984, 250.3214941629999, 58.21484125799998, 0.01634604599985323, 15, 2, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.18212441699984, -1, 108.81166960099972, 0.01627946000007796, 15, 3, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.18212441699984, -1, 177.47108571199988, 0.024027220000789384, 15, 4, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.18212441699984, -1, 153.7414604280002, 0.026728179999736312, 15, 5, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05282350200013752, 0.11867763500049477, 0.10672890000023472, 0.017392840999491455, 15, 1, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05282350200013752, 0.16374228599943308, 0.1519458829998257, 0.016639595999549783, 15, 2, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05282350200013752, 0.24049437299981946, 0.22934427299969684, 0.016442462000668456, 15, 3, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05282350200013752, 0.30095114999949146, 0.2873705899992274, 0.021054002999335353, 15, 4, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.05282350200013752, 0.28116501400018024, 0.2685337080001773, 0.02691049000077328, 15, 5, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.006355964999784192, 0.0075434839991430636, 0.007442944000104035, 0.007814161999704083, 13, 1, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.006355964999784192, 0.006198824999955832, 0.0062891950001358055, 0.014061415000469424, 13, 2, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.006355964999784192, 0.011772657999244984, 0.01188892099980876, 0.01414306399965426, 13, 3, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.006355964999784192, 0.014182233000610722, 0.01411766199998965, 0.00904742599959718, 13, 5, 2, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.006355964999784192, 0.009576881000612048, 0.009793899000214878, 0.00823652700000821, 13, 6, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.02969484100049158, 0.03180600800078537, 0.031045158000779338, 0.04991597800017189, 20, 1, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.02969484100049158, 0.0589473949994499, 0.05642955100029212, 0.05054885800018383, 20, 2, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.02969484100049158, 0.0720287490003102, 0.06929656800002704, 0.051656952000485035, 20, 3, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.02969484100049158, 0.08180942899980437, 0.07982159499988484, 0.05524542399962229, 20, 4, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.02969484100049158, 0.09008337799969013, 0.08917025800019474, 0.14986602300086815, 20, 5, 1, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.019937547000154154, 0.17183412999929715, 0.15242264100015745, 0.08939185700000962, 25, 3, 3, 3, 3
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.019937547000154154, 0.22344264000003022, 0.20051090299966745, 0.13163076199907664, 25, 8, 5, 5, 5
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.019937547000154154, 0.12692549700022937, 0.11197354900014034, 0.059032620998550556, 25, 10, 2, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.019937547000154154, 0.1666342580001583, 0.14391050199992605, 0.1094889920004789, 25, 14, 4, 4, 4
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.0711843740000404, 1.4010655470001439, 1.231397062000724, 1.3723926700004085, 47, 19, 19, 19, 19
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.0711843740000404, 0.8443121270001939, 0.804735458000323, 1.4276475770002435, 47, 21, 2, 14, 13
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.0711843740000404, 1.422023578000335, 1.2931003730000157, 1.535977776999971, 47, 34, 13, 18, 17
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1307663939996928, 0.589140987999599, 0.4921979589998955, 0.1759555709995766, 29, 1, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1307663939996928, 0.5474960689998625, 0.47996409500046866, 0.183753237000019, 29, 2, 1, 1, 1
